# Records excluded from the picker entirely.
# Format: UNITID | reason | name

476957 | CYACTIVE=3 (closed or out-of-scope) | Academy di Firenze
499088 | CYACTIVE=3 (closed or out-of-scope) | Adult & Community Education, Columbus City Schools - Fort Hayes Career
134811 | CYACTIVE=3 (closed or out-of-scope) | AI Miami International University of Art and Design
499264 | CYACTIVE=3 (closed or out-of-scope) | Alabama School of Nail Technology & Cosmetology - Saraland
237118 | CYACTIVE=3 (closed or out-of-scope) | Alderson Broaddus University
194161 | CYACTIVE=3 (closed or out-of-scope) | Alliance University
499565 | CYACTIVE=3 (closed or out-of-scope) | Alliant International University - Phoenix
445461 | CYACTIVE=3 (closed or out-of-scope) | Altierus Career College-Bissonnet
443748 | CYACTIVE=3 (closed or out-of-scope) | Altierus Career College-Norcross
137801 | CYACTIVE=3 (closed or out-of-scope) | Altierus Career College-Tampa
106360 | CYACTIVE=3 (closed or out-of-scope) | Arthur's Beauty College
128577 | CYACTIVE=3 (closed or out-of-scope) | Asnuntuck Community College
497790 | CYACTIVE=3 (closed or out-of-scope) | Atlantis University-Florida Palms University
499644 | CYACTIVE=3 (closed or out-of-scope) | Baker College - Royal Oak Campus
164641 | CYACTIVE=3 (closed or out-of-scope) | Bay State College
366438 | CYACTIVE=3 (closed or out-of-scope) | Blades School of Hair Design
450119 | CYACTIVE=3 (closed or out-of-scope) | Blue Cliff College-Fayetteville
450021 | CYACTIVE=3 (closed or out-of-scope) | Blue Cliff College-Houma
499051 | CYACTIVE=3 (closed or out-of-scope) | Bushnell University - Roseburg Campus
110918 | CYACTIVE=3 (closed or out-of-scope) | California Christian College
499431 | CYACTIVE=3 (closed or out-of-scope) | Cambridge College of Healthcare & Technology - Miami Gardens
238430 | CYACTIVE=3 (closed or out-of-scope) | Cardinal Stritch University
450702 | CYACTIVE=3 (closed or out-of-scope) | Carrington College-Citrus Heights
467368 | CYACTIVE=3 (closed or out-of-scope) | Carrington College-Ontario
499121 | CYACTIVE=3 (closed or out-of-scope) | Casa Loma College - Casa Loma College
230834 | CYACTIVE=3 (closed or out-of-scope) | Castleton University
189848 | CYACTIVE=3 (closed or out-of-scope) | Cazenovia College
451741 | CYACTIVE=3 (closed or out-of-scope) | CEM College-Bayamon
434539 | CYACTIVE=3 (closed or out-of-scope) | City College-Miami
499112 | CYACTIVE=3 (closed or out-of-scope) | College of the Marshall Islands - Kwajalein Campus
499459 | CYACTIVE=3 (closed or out-of-scope) | College Unbound - Newport/Aquidneck Island
459417 | CYACTIVE=3 (closed or out-of-scope) | Compass College of Film and Media
130396 | CYACTIVE=3 (closed or out-of-scope) | Connecticut State Community College Gateway
129543 | CYACTIVE=3 (closed or out-of-scope) | Connecticut State Community College Housatonic
130004 | CYACTIVE=3 (closed or out-of-scope) | Connecticut State Community College Norwalk
130606 | CYACTIVE=3 (closed or out-of-scope) | Connecticut State Community College Tunxis
459189 | CYACTIVE=3 (closed or out-of-scope) | Cosmo Beauty Academy
482440 | CYACTIVE=3 (closed or out-of-scope) | DeVry University-Colorado
482538 | CYACTIVE=3 (closed or out-of-scope) | DeVry University-Missouri
482617 | CYACTIVE=3 (closed or out-of-scope) | DeVry University-Tennessee
499699 | CYACTIVE=3 (closed or out-of-scope) | Dragon Rises College of Oriental Medicine - Bradenton
172440 | CYACTIVE=3 (closed or out-of-scope) | Finlandia University
436641 | CYACTIVE=3 (closed or out-of-scope) | Fortis College-Foley
460385 | CYACTIVE=3 (closed or out-of-scope) | Geisinger-Lewistown Hospital School of Nursing
499246 | CYACTIVE=3 (closed or out-of-scope) | Georgia Military College - Rockdale
235583 | CYACTIVE=3 (closed or out-of-scope) | Highlights Beauty Schools
115728 | CYACTIVE=3 (closed or out-of-scope) | Holy Names University
488068 | CYACTIVE=3 (closed or out-of-scope) | Huntington University of Health Sciences
368443 | CYACTIVE=3 (closed or out-of-scope) | Hussian College-Daymar College Clarksville
